"Restaurante","Avaliação","Localização","Vendas da Rede","Crescimento Anual (%)","Nº de Filiais","Crescimento Anual Filiais (%)","Vendas Média das Filiais","Ano do Ranking","Franquia"
"HopCat","One of three full-service chains in the top 10, HopCat proclaims a singular mission: “To bring you great beer.” Rated a top beer bar by several media outlets, this concept also bills itself as the “anti-chain chain,” while trying to make each unit look like an independent restaurant. Extensive beer menus reflect that local focus. Its craveable Crack Fries are popular, one of many housemade comfort food items.","Grand Rapids, Mich.",30200000,57.3,13,85.7,3020000,2017,NA
"Luna Grill","Like Cava Grill, this Mediterranean fast casual is seeing rapid expansion, opening 15 stores from 2015 to 2016. San Diego-based Luna Grill entered Los Angeles in 2016, opening several units in shopping malls. The health-focused brand’s lengthy menu spotlights natural meats and housemade marinades and dressings. Its new Never, Ever Gyro is a hormone-, antibiotic- and MSG-free beef-and-lamb blend.","Carlsbad, Calif.",36900000,58.4,35,75,1340000,2017,"No"
"Ike's Place","The only sandwich chain to make the list, Ike’s Place peddles pop culture-themed handhelds such as the Bad Santa, Desperate Housewives and Tony Soprano creations. Some feature halal meats, as well as housemade alternative meats and cheeses like vegan turkey and soy cheese. Founded in San Francisco in 2007, the chain first expanded outside the city three years later and to Arizona in 2014.",NA,32400000,42.7,34,70,1200000,2017,"No"
"Jinya Ramen Bar","Started in 2000 in Tokyo by Tomonori Takahashi, Jinya crossed over to California a decade later. It now has units in five states, serving housemade ramen noodles and rice bowls. It opened its first East Coast unit last year, with further expansion planned. The menu is expanding as well, with the addition of pork-stuffed steam buns and on-trend poke bowls. ","Burbank, Calif.",39400000,42.8,20,66.7,2460000,2017,"yes"
"Vitality Bowls","This self-dubbed “superfood cafe” grew out of founder Tara Gilad’s desire to provide food for her daughter, who has severe allergies. The menu is heavy on acai bowls, smoothies, juices, panini and salads. Vitality Bowls began franchising in 2014 and racked up 13 new units the following year. It offers online ordering, catering and a loyalty app.","San Ramon, Calif.",32400000,58.1,33,65,1220000,2017,"yes"
"Kung Fu Tea","The bubble tea seller was one of the first to bring the Asian tapioca pearl beverage to the U.S. Founded in New York City in 2009, it expanded to Florida and Las Vegas in 2014. The beverage menu features nearly 40 options, including specialty coffees, teas and slushies. The chain capitalizes on social media marketing with Instagrammable drinks such as a “panda” tea  with black and white bubbles. ",NA,35200000,51.1,90,63.6,485000,2017,"Yes"
"California Fish Grill","Opening in 1998, this fast casual emerged early in the segment’s rise. That experience, plus its focus on seafood and adult beverages, has helped the value-minded concept thrive and grow. All units are company-owned, and its founder remains on the board of directors. The chain promotes “healthy indulgence” with a range of fried and grilled options.","Irvine, Calif.",3.4e+07,25.9,17,54.6,2430000,2017,NA
"Snooze, an A.M. Eatery","This breakfast and brunch concept with an extensive morning-cocktail menu reports both strong same-store sales (up 45.5% from 2015-2016) and unit growth. It has an eco-friendly focus, touting its composting and recycling efforts, cage-free eggs and local sourcing. Last year, Snooze secured funding from Stripes Group, and three of the group’s partners (including former Shake Shack CEO David Swinghammer) now sit on Snooze’s board.",NA,27500000,45.5,20,53.9,1665000,2017,"No"
"&pizza","As the leading fast-casual pizza concept on the list, &Pizza received a $25 million cash infusion late last year. The funding, from investment firm Avalt, will help the chain expand to New York City, as well as upping its footprint in existing markets. The chain capitalizes on the build-your-own trend with customizable pizzas that are cooked in 600 degree ovens for 90 seconds. Last fall, &Pizza opened its first unit with a bar. The &Bar concept features beer, wine and three cocktails.","Washington, D.C.",26100000,69.5,20,53.9,1580000,2017,NA
"Piada Italian Street Food","Piada bucks the Italian fast-casual trend of build-your-own pizza  with a seasonal menu of salad bowls, soups and signature piada wrap sandwiches. The chain strengthens its community connection by partnering with local charities and other groups. Last year, Piada, which was started by the co-founder of the Bravo Brio Restaurant Group, expanded into Texas, Pennsylvania and Kentucky. ","Columbus, Ohio",33400000,49.8,38,52,1060000,2017,"no"
"Pies & Pints","Gourmet pizzas and craft beer take centerstage at this full-service chain. Each unit features a white elephant mural, just the like original one that was found while building out the first restaurant. The chain serves local beers at each location, and regularly hosts new-beer release parties and Craft Beer Week celebrations.","Lexington, Ky.",30300000,46.4,12,50,3030000,2017,NA
"Burger Lounge","The only burger concept among the top 20 on this list, this fast casual declares “We do a common thing uncommonly well.” Burger Lounge emphasizes American grass-fed beef, as well as free-range turkey and an organic quinoa patty to appeal to vegetarians. It serves lunch, dinner and alcohol beverages, and has received funding from investor KarpReilly to fuel its expansion. ","La Jolla, Calif.",28800000,33.3,21,50,1645000,2017,"no"
"Pressed Juicery","Adding 29 new units between 2015 and 2016, Pressed Juicery courts health-minded consumers with cold-pressed, no-added-sugar juice blends. The concept also offers juice-cleanse subscriptions  that are customizable and deliverable. It recently made headlines for partnering with high-end candy maker Sugarfina to develop a line of green-juice gummy candies sold in its signature bottles on Sugarfina’s website. ","Santa Monica, Calif.",37700000,46.1,87,50,520000,2017,"no"
"Keke's Breakfast Cafe","The extensive menu at this midscale breakfast and lunch concept riffs on morning staples with items such as Pina Colada stuffed French toast and Buffalo chicken omelets. Says its website: “It’s like your hometown diner grew up and went to the city.” Eight more units are in development in Florida, its sole market. ","Orlando, Fla.",32800000,49.8,25,47.1,1560000,2017,"yes"
"85C Bakery Cafe","Customers have waited in hourlong lines at the concept’s recently opened Seattle-area unit to scoop up its Asian pastries, such as the Marble Taro Bun and milky brioche. Founded in Taiwan, 85C is named for its optimal coffee-brewing temperature—though it is known for its iced sea salt coffee. 85C has more than 900 units globally and continues to expand in the States. ","Brea, Calif.",29200000,40.4,25,47.1,1390000,2017,"yes"
"Gus's World Famous Fried Chicken","This hot-and-spicy full-service chain serves chicken, sides and plates. Gus’s recently announced plans to triple its units, with expansion to D.C. and Burbank, Calif., and is eyeing an overseas rollout as well. Most units are franchised, but the original Gus’s in Memphis is still run by family of the founder.","Memphis, Tenn.",33900000,44.9,19,46.2,2120000,2017,"yes"
"Your Pie","An originator of the fast-casual pizza segment, Your Pie opened in 2008. The chain sets itself apart with unusual creations such as its peach and prosciutto pie. A recently launched catering program includes pizza, panini and salads as well as box-lunch options. The chain has spent 2017 expanding out of the Southeast into new states such as Wisconsin and Louisiana.","Athens, Ga.",30800000,38.7,35,45.8,1045000,2017,NA
"True Food Kitchen","This health-focused concept, formerly of Fox Restaurant Group, appointed onetime Starbucks exec Christine Barone as CEO in 2016. It’s expanded since then, entering the Midwest with a Chicago location. A new menu, rolled out in 2016, offers veggie bowls, a grass-fed beef burger and a variety of seasonal veggie dishes.",NA,39700000,28.1,16,45.5,2940000,2017,NA
"b.good","Last year, the fast-casual burger chain bought its own farm to supply fresh produce to its stores. It also revamped its mobile app to include features that reflect the chain’s commitment to telling the stories behind its food and giving back to the community. One such feature includes letting consumers donate food to local schools. Going forward, B.good plans to continue growing in the Northeast. ",NA,3.6e+07,55.2,40,42.9,1060000,2017,"Yes"
"hopdoddy Burger Bar","Unconventional burgers and beers rule at this fast casual from the industry vets behind the Eddie V’s seafood chain. Along with all-natural, ground-in-house burgers, its full bars feature more than a dozen small-batch craft beers and rotating cocktails. Guests are seated after placing their order at a counter and can leave real-time feedback via tablets.","Austin, Texas",36300000,55.8,17,41.7,2500000,2017,"no"
"Andy's Frozen Custard","Using custard made in-store daily, Andy’s churns out shakes, concretes, malts and sundaes from walk-up stores. Rotating specials push in-season fruits and seasonal add-ins, like egg nog or pumpkin pie. Andy’s nearly doubled its units in one year and plans growth in Kansas, Colorado, Arizona and more. ","Springfield, Mo.",42400000,36.8,40,37.9,1230000,2017,"yes"
"Kula Revolving Sushi Bar ","Tech-focused conveyor belt sushi chain, Kula Revolving Sushi Bar, uses prizes as an incentive to get diners to order more food. A customer who eats 15 plates receives a small toy such as a keychain or stickers via a machine. The mostly California-based chain debuted its first Austin, Texas, location earlier this year. ","Irvine, Calif.",25300000,33.9,11,37.5,2580000,2017,"no"
"Cowboy Chicken","This Texas-based chain rustles up rotisserie chicken over an open fire as well as Tex-Mex fare. In the past year, it launched an order-ahead app where customers pay in-store. Revamped units have a “cowboy cool” rustic design with wood and rope details, and put the rotisserie front and center. After pairing with franchise partner FRC Group, it’s set to open 14 units in Iowa, Kansas and South Dakota this year.",NA,29500000,39.8,22,37.5,1550000,2017,"Yes"
"Sauce Pizza & Wine","Restaurateur Sam Fox sold Sauce—the concept he created and nurtured for more than a decade—in 2015. His hope: that buyer Scott Kilpatrick, who founded RA Sushi, would grow it even bigger. Since then, it’s gone from nine to 15 units, with plans to spread in New Mexico and Arizona. Beyond pizza, the fast casual sells pasta, panini, salads and desserts, plus beer and more than a dozen wines.",NA,25500000,26.9,15,36.4,1960000,2017,"No"
"Fresh Brothers","Last fall, the chain landed funding from private-equity firm Nolan Capital to help it expand from 15 to 50 units in the next five years with the potential of breaking out beyond its California base (including an outpost in LAX airport). The family-focused pizzeria offers a range of make-your-own-pizza party packages for kids. Its menu also heavily promotes gluten-free options. ",NA,26200000,29.1,19,35.7,1585000,2017,"No"
"Public School","The school-themed gastropub offers craft beers and trendy American comfort food such as quinoa-stuffed peppers and poke. It lures patrons with brunch, weekly trivia and twice-daily “recess” (happy hour). Playing to locals, each unit’s area code is used in its name (PS303 is in Denver), and each runs its own social media, including promoting its entries to a monthly chainwide Burger Smackdown. ",NA,25500000,57.4,8,33.3,3645000,2017,"No"
"The Brass Tap","This gastropub, whose FSC Franchise Co. parent also owns Beef ‘O’ Brady’s, serves 80 local and craft beers in a neighborhood-style environment. In an effort to keep its menu exciting, the Brass Tap has released LTOs at select locations such as the beer and Girl Scout cookie pairings that were offered this spring. So far in 2017, it’s debuted in new markets including Houston and Maryland.","Tampa, Fla.",43800000,54.8,40,33.3,1250000,2017,"no"
"Chicken Salad Chick","What started as a chicken salad business run out of founders Stacy and Kevin Brown’s home in Alabama has grown to 63 units in three states. The menu offers a variety of chicken salad options in the form of sandwiches, salads or “a scoop,” along with soups, pimento cheese and desserts. The chain plans to continue to expand in the South and will soon be opening its first location in Mississippi. ","Auburn, Ala.",45500000,24.7,63,31.3,820000,2017,"yes"
"Tin Lizzy's Cantina","Patio dining—with a bar in some units—is the focus of Tin Lizzy’s. Its “FlexMex” fare has a multicultural influence, with Mexican-inspired tacos as well as nontraditional Korean barbecue tacos, bacon-cheeseburger tacos and Low Country Boil tacos, plus sandwiches, soups and more. Franchising began in 2015, with a focus on expanding in South Carolina and its home state of Georgia. ",NA,30800000,40.6,13,30,2680000,2017,"Yes"
"Just Salad","After an investment from Panda Restaurant Group, Just Salad is growing internationally as well as stateside with 10 additional units planned for the United Arab Emirates in the next few years. In an attempt to appeal to more diners, the chain expanded its menu beyond salad to include grain bowls, wraps and specialty toasts, and some New York City locations have begun serving food in decomposable paper bowls. ",NA,27100000,38.3,26,30,1180000,2017,"Yes"
"Bone Daddy's House of Smoke","This Texas-based “breastaurant” offers barbecue, beer and handcrafted cocktails served by a waitstaff dubbed “Daddy’s Girls.” Promotions center around sports bar-centric occasions such as Cinco de Mayo and March Madness. (Notably, its single-unit fast-casual sibling, Good Union Barbecue, is a locally, sustainably focused contrast.)  ","Addison, Texas",32800000,14.7,9,28.6,4100000,2017,"no"
"Wokcano Asian Restaurant & Lounge","The flagship of the growing Zao Brands group, Wokcano serves up a broad array of Pan-Asian dishes. Aiming to offer something for everyone, its menu features sushi, small plates and happy hour specials. The “chic” SoCal design promises seating for solo diners, as well as groups at a communal table. The eatery has grown to nine units in California since its 2001 debut.","Monterey Park, Calif.",26400000,25.1,9,28.6,3300000,2017,"no"
"Moe's Original Bar B Que","Moe’s originated with meats roasted on the grill at the doublewide of one of its founders. The operation grew to a gooseneck hay trailer, slinging barbecue in Vail, Colo. Today, the setup of each location reflects its community, from carryout only to a full-service restaurant and bar with a bowling alley. Its 50th unit opened this year in Jackson Hole, Wyo.","Vail, Colo.",33900000,27,51,27.5,745000,2017,"yes"
"Karl Strauss Brewing Company","Widely considered to be San Diego’s first microbrewery, Karl Strauss made its debut in 1989 and has since grown to 10 units in California, plus a tasting room and beer garden. Last year it went from micro to mega, opening a 12,000-square-foot brewpub in LA. It runs a rotating beer of the month and partners with local brewers for special LTO beers.",NA,39105000,10.9,10,25,4345000,2017,NA
"III Forks","This classic steakhouse began offering delivery last year under a partnership agreement its parent company, Consolidated Restaurant Operations, forged with DoorDash to offer the service for all of its concepts.  (That multiconcept parent also runs Cantina Laredo, a Top 500 restaurant chain.) Each of III Forks’ 10 locations hosts special events throughout the year such as wine tastings featuring different regional wines. ",NA,36900000,21.4,10,25,4100000,2017,"No"
"Blue Sushi Sake Grill","Founded in 2002, the chain—part of Flagship Restaurant Group—serves what it describes as “fun” sushi to the happy hour crowd, in spaces defined by their backlit blue decor. The menu, which also offers Asian-inspired hot plates, grew this year to include new hand-roll options and a bento box for kids. Going forward, Blue Sushi is expanding in Illinois, Indiana, Texas and Kentucky. ","Omaha, Neb.",27900000,32.9,10,25,3100000,2017,"no"
"Caffebene","The South Korean bakery-cafe giant’s unit growth belies its performance. After making its U.S. debut in 2012 in NYC’s Times Square, Caffebene has ballooned to some 50 stateside units (among 1,600 globally). Global industry watchers blame overly ambitious growth in the U.S. and elsewhere in part for the chain’s operating losses. It’s now ratcheting up its turnaround efforts and shopping for a master franchise deal, Korean media reports.",NA,45200000,39.1,50,25,1015000,2017,"Yes"
"Atomic Wings","Since its start on New York City’s Upper East Side in 1989, this fast-casual brand has focused on providing authentic, Buffalo-style chicken wings and other comfort foods that are free from antibiotics and hormones. The chain recently expanded to Mexico City, and has begun offering online ordering. ","Montclair, N.J.",31400000,18.9,27,22.7,1280000,2017,"yes"
"Paul Martin's American Grill","Paul Fleming, co-founder of P.F. Chang’s and Fleming’s Prime Steakhouse & Bar, launched this seasonally focused concept in 2007, where all food is grilled over a live fire. Last year, the brand debuted a prototype called Paul Martin’s Austin Grill in Austin, Texas. The new unit shares a seasonal focus, but emphasizes local sourcing as well. ","Newport Beach, Calif.",47200000,20.4,11,22.2,4715000,2017,"no"
"The Matador","This chain of casual Tex-Mex full-service spots continues to grow across the Northwest. It boasts more than 130 kinds of tequila, including exclusive varieties, and units often host tequila-pairing dinners. The restaurants are known for their ornate tables and bar tops, all built by the restaurant’s co-founder, Zak Melang. ",NA,37600000,27,11,22.2,3760000,2017,"No"
"Walk-On's Bistreaux & Bar","A sports bar with a New Orleans flair, this brand—which brought on Saints quarterback Drew Brees as a co-owner in 2015—outfits its waitresses in cheerleader uniforms. Tables in some units feature their own beer taps. The chain is experimenting with novel LTOs, like the recent Cheeseburger Burrito in a chipotle-flavored tortilla.                                                                                         ","Baton Rouge, La.",3.2e+07,12.3,11,22.2,3200000,2017,"yes"
"Scotty's Brewhouse","What started as a local hangout for Ball State University students has expanded into this 17-unit sports bar chain. The concept remains focused on the college crowd, with units near campuses in Indiana, Illinois and Florida. Customers can log in on Scotty’s website or mobile app to join an online waitlist at peak times. The app also offers ordering, payment and rewards.",NA,48700000,28.8,17,21.4,3140000,2017,"No"
"Burtons Grill","This upscale casual spot aims to please a wide range of eaters. Each of its 12 units has separate paleo, vegetarian and gluten-free menus in addition to traditional offerings. Modeled after the USDA’s MyPlate nutrition guidelines, its kids menu comes with a color-coded placemat that lists items in each main food group so kids can customize a healthy meal. 
","Andover, Mass.",49700000,10.9,12,20,4520000,2017,"no"
"bartaco","Positioned as the more relaxed counterpart to its sister concept, Barcelona Wine Bar & Restaurant, Bartaco draws diners with a beach-themed vibe and a unique ordering system where guests place their menus on raised platforms at their tables to signal they’re ready to order. The chain has been growing steadily throughout the East Coast, thanks to an investment by a global PE firm in 2015. ","Port Chester, N.Y.",40700000,32.1,12,20,3700000,2017,"no"
"City Barbeque","City Barbeque has seen accelerated growth since selling part of the company to private-equity firm Freeman Spogli last year. The chain positions itself as celebrating “the craft of barbecue,” and all of the meats it menus are smoked on-site at each of its 35 locations—a process that can take upwards of 18 hours. The brand also sells its own line of barbecue sauces and apparel.","Dublin, Ohio",39900000,15.7,31,19.2,1400000,2017,NA
"Roti Modern Mediterranean","The formerly named Roti Mediterranean Grill rebranded last summer and began rolling out alcohol at some units. In that time, the health-focused concept added a variety of new sauces and toppings for its customizable rice plates, pitas and salads, as well as seasonal housemade beverages. ",NA,39700000,17.5,25,19.1,1725000,2017,"No"
"Verts Mediterranean Grill","Since receiving a $20 million private investment last spring, this Mediterranean fast casual has opened its first East Coast locations, hired a new executive chef, created its own test kitchen and expanded its menu to include pitas, wraps, salads and bowls. The chain was also featured on CNBC’s 2017 list of 10 hot restaurant brands to watch and co-founder Dominik Stein was included in Forbes’ 2017 30 Under 30 list in the food and drink category.","Austin, Texas",28100000,28.3,28,16.7,1080000,2017,"no"
"CoreLife Eatery","This health-focused fast casual posted triple-digit growth with its menu of bowls geared toward clean-eating consumers. Ingredients are free from trans fats, GMOs, artificial colors and sweeteners, antibiotics and hormones. Behind the brand, industry veterans such as President Scott Davis (whose tenure includes time at Panera Bread) are driving growth. The chain plans to expand to 300 units, both company-owned and franchised, over the next five years.","Syracuse, N.Y.",2.2e+07,241.4,23,187.5,1700000,2018,"Yes"
"The Halal Guys","Fast-paced growth continues for The Halal Guys, which topped last year’s Future 50 list. The Middle Eastern fast casual’s trajectory includes dozens of new units, a growing loyalty program and a delivery push via third-party partners. About 10% of traffic comes through delivery services, so the chain has reconfigured its units to accommodate pickup orders, added parking spaces for delivery drivers, and has revamped its bagging procedure to account for multiple off-premise orders.","Astoria, N.Y.",3.7e+07,160,54,134.8,970000,2018,"Yes"
"Wahlburgers","Wahlburgers has carved out its place in the better-burger sector, thanks in part to its founders: celebrity brothers Paul, Donnie and Mark Wahlberg. The chain, which saw a CEO shakeup last month, recently opened a 5,500-square-foot unit at Mall of America in Minnesota. It also partnered with Hy-Vee last year to build, own and operate 26 units in the Midwest, making the grocery store the brand’s largest single franchisee. To further its reach, it launched Wahlburgers at Home, a retail beef product line. ","Hingham, Mass.",3e+07,122.5,20,150,2200000,2018,"Yes"
"Maple Street Biscuit Co.","This fast-casual breakfast and lunch concept has built its brand around inventive biscuit sandwiches and Southern comfort food such as grits and fried green tomatoes. The 6-year-old chain recently made online ordering available at all units and has expanded its menu to include Mason jar salads served with a veggie biscuit. ","Jacksonville, Fla.",2.8e+07,96.6,20,122.2,2e+06,2018,"No"
"Honeygrow","In December, the fast-casual, customizable stir-fry concept announced it had raised an additional $18 million in funding, bringing its lifetime total to $70 million. A portion of the latest cash infusion will be used to expand Honeygrow’s small-footprint offshoot, Minigrow. Some will also be used to provide tech upgrades and develop a combined loyalty app for the two concepts.",NA,3.9e+07,96,26,73.3,1800000,2018,NA
"Bibibop Asian Grill","To help fuel its growth, this fast casual, which launched in 2013, is taking over the spaces of another Asian fast casual: Bibibop bought the failed Chipotle spinoff ShopHouse Southeast Asian Kitchen last year and assumed the leases of all 15 units. To differentiate itself, the chain features customizable rice bowls topped with proteins, vegetables and sauces—a play on the traditional Korean bibimbap. The chain recently added miso soup with seasonal toppings to the menu. ","Columbus, Ohio",2.3e+07,89.4,25,108.3,1300000,2018,"No"
"Babalu Tapas & Tacos","This full-service, shared-plates concept is poised for expansion with the recent promotion of industry vet Abe Ruiz to CEO. Ruiz has a lengthy resume of full-service experience, including a stint as chief operating officer of Famous Dave’s. Babalu, which first opened in 2010, looks for real estate in revitalizing neighborhoods. The restaurants are notable for their social atmosphere and soundtrack of Latin music. ","Roswell, Ga.",2.5e+07,78.6,9,125,2700000,2018,"No"
"Cava","Using technology to “enhance the human experience, not replace it,” is one of the pillars for Cava, says Brett Schulman, CEO of the Mediterranean fast casual that has raised more than $130 million in funding since its founding in 2011. As such, don’t expect to see robots at Cava anytime soon. However, the high-tech chain does have a growing network of sensors to monitor food safety on delivery trucks and in its kitchens, a video learning system for onboarding and a deepening understanding of how to turn data into actionable insights.","Rockville, Md.",4.7e+07,77.2,46,84,1400000,2018,"No"
"Ahipoki bowl","Modern consumers gravitate toward health halos such as fresh and clean, and that’s what Ahipoki Bowl trades on through its customizable poke bowls. Its menu features a range of seafood options, including tuna, salmon, yellowtail and shrimp, to be paired with authentic Asian ingredients and add-ins. The chain, which is expanding throughout the Western U.S., recently debuted in Seattle and has partnered with a third-party delivery company to make a play in the off-premise space.","Hollywood, Calif.",2.6e+07,74,24,60,1300000,2018,"No"
"Duck Donuts","The customizable, made-to-order format works for bowls and pizzas—so why not doughnuts? That’s the premise behind this 12-year-old chain, which focuses on warm cake doughnuts topped with a choice of icings and toppings such as peanuts, marshmallow and salted caramel. Stores feature a viewing area, so guests can watch the doughnut-making process. The chain is currently testing online ordering, with plans to roll the program out nationwide by the end of the year. ","Mechanicsburg, Pa.",2.4e+07,72.9,58,48.7,5e+05,2018,"Yes"
"1000 Degrees Neapolitan Pizza","With several customizable pizza concepts that cook pies in minutes, this growing brand focuses on Neapolitan-style pies made with quality ingredients. 1000 Degrees sets itself apart with its 100-year old dough recipe from Naples that’s made with a fork-style mixer—not a dough hook—and is hand-stretched. The chain offers more than 40 sauces, cheeses and other toppings, along with wings and salads. The chain also recently added a self-serve beer and wine option for its franchisees.","Galloway, N.Y.",2.6e+07,66.7,34,70,980000,2018,"Yes"
"Dog Haus","Since signing a large franchise-development deal in 2016, this fast-casual hot dog concept has been growth-minded, expanding into new markets. Since opening its first unit in 2010, the chain has become known for its all-beef hot dogs, burgers, sausages and other sandwiches, all served on soft Hawaiian rolls. Units also serve craft beer. To cater to consumers’ growing interest in clean ingredients, the company last year shifted to vegetarian-fed meats that have been raised without antibiotics or hormones. ","Pasadena, Calif.",2.4e+07,58.2,31,55,950000,2018,"Yes"
"Your Pie","Your Pie first opened in 2008, making it relatively old in the fast-casual pizza sector. The chain has been overshadowed by a number of larger players in more recent years, but that could change based on its recent growth in sales and unit count. The chain boasts pizzas such as the Southern Heat, with Buffalo sauce, mozzarella, chicken, red onions and jalapeno. And unlike some of its competitors, its menu goes beyond pizza with panini and gelato, along with chopped salads and a selection of beer and wine. ","Athens, Ga.",2.7e+07,58,47,38.2,680000,2018,"Yes"
"Naf Naf Grill","Naf Naf Grill is making a push to bring shawarma to the masses. As part of that, the chain—which is owned by private-equity firm Roark Capital—brought over Paul Damico, former Focus Brands president, as CEO. “The concept is ready to be franchised,” he told Restaurant Business in January. This year, it also launched a digital app, in part to capitalize on the off-premise boom. In addition to online sales from that app and its website, Naf Naf is focusing on catering as a sales driver. ","Naperville, Ill.",4.8e+07,58,38,52,1500000,2018,"Yes"
"Kura Revolving Sushi Bar","In the U.S., Kura is a rapidly growing chain that serves sushi and Japanese side dishes. In Japan, however, the chain is widespread, with more than 385 locations throughout the island. Kura brings high-tech elements to the rotating sushi bar concept: Customers place an order on a touch panel, and food is delivered on a conveyor belt. Sushi arrives within a minute, and a side item in about four minutes. There’s a slot on the side of the table for empty plates.","Irvine, Calif.",3.7e+07,57.8,14,27.3,3200000,2018,"No"
"R Taco","R Taco was acquired last year as part of Arby’s purchase of Buffalo Wild Wings. But the chain was hardly a throw-in. Despite activist pressure, BWW held onto the fast-casual taco chain, even as it sold its pizza concept, PizzaRev. Now, R Taco gives its parent, the newly created Inspire Brands, a growth concept. The chain, formerly known as Rusty Taco, offers a wide selection of tacos, including versions with fried chicken, achiote pork, fried fish, beef brisket and grilled vegetables, as well as all-day breakfast tacos. ",NA,2.4e+07,55.4,26,77.3,1200000,2018,"Yes"
"The Simple Greek","The Simple Greek is known for its relationship with Marcus Lemonis, host of CNBC series “The Profit.” On the show, Lemonis turns around a struggling business and buys a stake in it, something he did for The Simple Greek, then known as My Big Fat Greek Gyro. It was converted into a  fast casual, serving customizable bowls and pitas, hummus, lentil soup and desserts. Since then, the chain has been in growth mode, opening 17 units in 2017, with 30 more planned for this year. ",NA,2.1e+07,55.1,15,36.4,1600000,2018,"No"
"Famous Toastery","The 25-unit chain was founded in 2005 in a small house that Brian Burchill and Robert Maynard converted into a restaurant. It quickly grew to three locations, serving dishes such as avocado Benedict and housemade hash. The company started franchising in 2013 and has become mostly franchise-run. While it is still focused on dine-in traffic, the chain has had to adjust to the growing demand for grab-and-go options, adding more warmers and reach-in coolers.","Charlotte, N.C.",3e+07,53.7,25,47.1,1500000,2018,"Yes"
"The Lost Cajun","The wandering Louisianan in question is Raymond “Griff” Griffin, a onetime fish lodge operator who left the land of gumbo and later found himself in the unlikely outpost of Frisco, Colo. He and his late wife opened a restaurant featuring just four Mississippi Delta specialties, including beignets. The authentic fare was a hit, leading to an expanded menu and outlets as far afield as Greenville, S.C. The emphasis is still on gumbos and platters of fried fish, with a few nods (such as pasta) to Yankee tastes.","Covington, La.",2.5e+07,53.6,12,33.3,2500000,2018,"Yes"
"HopCat","HopCat is proof that casual dining still has plenty of potential, though don’t suggest it’s in the same class as the big casual-dining brands. The concept takes pride in being an anti-chain chain, with designs specific to each location. Ditto for the 100-plus selection of beers in each store, curated by that location’s full-time beer program manager. Attitude abounds, as evidenced by the name given to its signature fries selections: Crack Fries (spiced with cracked black pepper), Vladimir Poutine and Sloppy Crack Fries (topped with sloppy Joe). ","Grand Rapids, Mich.",4.8e+07,48.9,16,23.1,3400000,2018,"No"
"Bombshells","Bombshells may be the least decadent of the establishments run by RCI Hospitality Holdings, whose main business is running gentlemen’s clubs. But it’s not the loose war theme or menu of sports bar staples that have made the concept a hit. Bombshells is unabashedly a breastaurant, though the attractions also extend to live music and more grilled items than might be served by the scantily clad waitresses of competing chains. It intends to have 10 units open by the middle of next year. ",NA,2.2e+07,46.7,6,50,4400000,2018,"Yes"
"&pizza","Fast casual’s proud iconoclast continues to challenge sector conventions with adjustments to each unit’s setting. A branch serving Washington, D.C.’s hip new “micro-hotel,” Hotel Hive, for instance, features a breakfast menu of sweet and savory a.m. pizzas, cold-pressed juices, yogurt and fruit. The chain received an infusion of growth capital last year from RSE Ventures, which &pizza has invested in talent development and opening units in New York, Miami and Boston, according to a spokesperson.","Washington, D.C.",2.9e+07,42.8,26,36.8,1300000,2018,"No"
"Teriyaki Madness","Teriyaki Madness describes its menu as “Seattle teriyaki,” a reference to the Asian-bowl joints that dot the progressive Pacific Northwest city. The fast-casual concept has grown from its first location in 2003 to about 50 stores nationwide, but it talks a much bigger story. It has signed deals for 140 new franchise stores and also expects to have 100 units open within a decade in Mexico, where its first international outpost is slated to open later this year. ",NA,2.9e+07,42,42,20,760000,2018,"Yes"
"LA Crawfish","The signatures of New Orleans and Vietnam come together in this Texas limited-service concept. LA Crawfish adds the twist of an extensive pho array, an apparent tribute to its home state’s sizable Vietnamese population. But the flavors of the bayou are amply reflected in delta specialties ranging from po’boys to the concept’s signature, crawfish. The fusion doesn’t stop with Vietnamese dishes: Curry and other Indian influences are also evident. LA Crawfish describes the menu as “Asian Cajun.”",NA,3.1e+07,41.7,19,35.7,1900000,2018,"Yes"
"Vitality Bowls","The husband-wife team of Roy and Tara Gilad built this “superfood cafe” around customized acai bowls. They plan to open 28 locations in 2018 and 33 in 2019, says Tara Gilad. “Finding affordable real estate can be a challenge, but landlords like the fact that we’re a healthy concept,” she says. An expansion of delivery is in the cards, but ordering kiosks are not: Guest interaction is key to the mission, says Gilad, because staff often has to educate diners on the menu’s less familiar ingredients.","San Ramon, Calif.",4.5e+07,41.4,48,45.5,1200000,2018,"No"
"Gus’s World Famous Fried Chicken","Gus’s, one of the original hot fried chicken concepts, fueled its growth by trading on a 1953 family recipe. The menu star is the signature fried chicken, but Gus’s is also known for its Southern-style sides and pies. Service is fast casual, but decor is homey, with tables covered in checkered cloths. The restaurant has now expanded beyond its Memphis roots to 25 locations, extending to Texas, Michigan, Missouri, Maryland and California.","Mason, Tenn.",4.7e+07,40.1,24,26.3,2200000,2018,"Yes"
